,Adj Close,Adj Close,Adj Close,Adj Close,Close,Close,Close,Close,High,High,High,High,Low,Low,Low,Low,Open,Open,Open,Open,Volume,Volume,Volume,Volume
,AAPL,SPY,STT,TSLA,AAPL,SPY,STT,TSLA,AAPL,SPY,STT,TSLA,AAPL,SPY,STT,TSLA,AAPL,SPY,STT,TSLA,AAPL,SPY,STT,TSLA
Date,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-03,75.27564239501953,306.6660461425781,68.15054321289062,52.0,77.16500091552734,324.1199951171875,76.08999633789062,52.0,78.37249755859375,326.1600036621094,77.58000183105469,52.409332275390625,75.55500030517578,323.2200012207031,75.9800033569336,44.90133285522461,76.07499694824219,323.3500061035156,76.01000213623047,44.91266632080078,173788400,69083000,1966700,705975000
2020-02-04,77.76080322265625,311.3399963378906,69.62838745117188,59.137332916259766,79.7125015258789,329.05999755859375,77.73999786376953,59.137332916259766,79.91000366210938,330.010009765625,78.68000030517578,64.59933471679688,78.40750122070312,327.7200012207031,77.38999938964844,55.59199905395508,78.82749938964844,328.07000732421875,77.38999938964844,58.86399841308594,136616400,62573200,2222200,914082000
2020-02-05,78.3948745727539,314.9353942871094,71.68841552734375,48.97999954223633,80.36250305175781,332.8599853515625,80.04000091552734,48.97999954223633,81.19000244140625,333.0899963378906,80.06999969482422,56.39866638183594,79.73750305175781,330.6700134277344,78.79000091552734,46.94066619873047,80.87999725341797,332.2699890136719,79.05999755859375,54.88399887084961,118826800,65951100,2530700,726357000
2020-02-06,79.31184387207031,315.9951171875,71.8944091796875,49.930667877197266,81.30249786376953,333.9800109863281,80.2699966430664,49.930667877197266,81.30500030517578,334.19000244140625,81.0,53.05533218383789,80.06500244140625,332.79998779296875,78.98999786376953,45.79999923706055,80.64250183105469,333.9100036621094,80.66000366210938,46.66133117675781,105425600,50359700,2476100,598212000
2020-02-07,78.23380279541016,314.3108825683594,70.88230895996094,49.871334075927734,80.00749969482422,332.20001220703125,79.13999938964844,49.871334075927734,80.8499984741211,333.989990234375,79.91999816894531,51.31666564941406,79.5,331.6000061035156,78.55999755859375,48.66666793823242,80.59249877929688,332.82000732421875,79.3499984741211,48.70333480834961,117684000,64139400,1599500,255952500
2020-02-10,78.6053695678711,316.65740966796875,70.87335205078125,51.41866683959961,80.38749694824219,334.67999267578125,79.12999725341797,51.41866683959961,80.38749694824219,334.75,79.58999633789062,54.66600036621094,78.4625015258789,331.19000244140625,78.75,50.15999984741211,78.54499816894531,331.2300109863281,78.93000030517578,53.33333206176758,109348800,42070000,1725500,370338000
2020-02-11,78.1311264038086,317.2062072753906,71.45552825927734,51.62533187866211,79.90249633789062,335.260009765625,79.77999877929688,51.62533187866211,80.9749984741211,337.0199890136719,80.62999725341797,52.23400115966797,79.67749786376953,334.67999267578125,79.38999938964844,50.53333282470703,80.9000015258789,336.1600036621094,79.4000015258789,51.25266647338867,94323200,54864500,1845200,175462500
2020-02-12,79.98655700683594,319.2499084472656,72.03771209716797,51.15266799926758,81.80000305175781,337.4200134277344,80.43000030517578,51.15266799926758,81.80500030517578,337.6499938964844,81.81999969482422,52.650001525878906,80.36750030517578,336.42999267578125,80.30000305175781,50.891334533691406,80.36750030517578,336.8299865722656,80.52999877929688,51.858001708984375,113730400,43992700,1381600,180337500
